X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,Y
t,h,e,s,e,_,a,f,f,i,l,i,a,t,e,s,_,p,a,r,t,i,c,i,p,a,t,e,_,i,n,_,t,h,e,_,p,r,o,m,o,t,i,o,n,_,d,e,v,e,English
t,h,e,_,o,p,e,r,a,t,i,o,n,_,o,f,_,w,i,k,i,p,e,d,i,a,_,d,e,p,e,n,d,s,_,o,n,_,m,e,d,i,a,w,i,k,i,_,a,_,English
_,t,h,e,_,s,o,f,t,w,a,r,e,_,i,n,c,o,r,p,o,r,a,t,e,s,_,p,r,o,g,r,a,m,m,i,n,g,_,f,e,a,t,u,r,e,s,_,s,u,English
m,e,d,i,a,w,i,k,i,_,i,s,_,l,i,c,e,n,s,e,d,_,u,n,d,e,r,_,t,h,e,_,g,n,u,_,g,e,n,e,r,a,l,_,p,u,b,l,i,c,English
o,r,i,g,i,n,a,l,l,y,_,w,i,k,i,p,e,d,i,a,_,r,a,n,_,o,n,_,u,s,e,m,o,d,w,i,k,i,_,w,r,i,t,t,e,n,_,i,n,_,English
s,t,a,r,t,i,n,g,_,i,n,_,j,a,n,u,a,r,y,_,(,p,h,a,s,e,_,i,i,),_,w,i,k,i,p,e,d,i,a,_,b,e,g,a,n,_,r,u,n,English
t,h,e,_,p,h,a,s,e,_,i,i,_,s,o,f,t,w,a,r,e,_,w,a,s,_,r,e,p,e,a,t,e,d,l,y,_,m,o,d,i,f,i,e,d,_,t,o,_,a,English
i,n,_,j,u,l,y,_,(,p,h,a,s,e,_,i,i,i,),_,w,i,k,i,p,e,d,i,a,_,s,h,i,f,t,e,d,_,t,o,_,t,h,e,_,t,h,i,r,d,English
s,e,v,e,r,a,l,_,m,e,d,i,a,w,i,k,i,_,e,x,t,e,n,s,i,o,n,s,_,a,r,e,_,i,n,s,t,a,l,l,e,d,_,t,o,_,e,x,t,e,English
i,n,_,a,p,r,i,l,_,a,_,l,u,c,e,n,e,_,e,x,t,e,n,s,i,o,n,_,w,a,s,_,a,d,d,e,d,_,t,o,_,m,e,d,i,a,w,i,k,i,English
t,h,e,_,s,i,t,e,_,c,u,r,r,e,n,t,l,y,_,u,s,e,s,_,l,u,c,e,n,e,_,s,e,a,r,c,h,_,n,e,e,d,s,_,u,p,d,a,t,e,English
_,i,n,_,j,u,l,y,_,a,f,t,e,r,_,e,x,t,e,n,s,i,v,e,_,b,e,t,a,_,t,e,s,t,i,n,g,_,a,_,w,y,s,i,w,y,g,_,(,w,English
_,i,t,_,w,a,s,_,m,e,t,_,w,i,t,h,_,m,u,c,h,_,r,e,j,e,c,t,i,o,n,_,a,n,d,_,c,r,i,t,i,c,i,s,m,_,a,n,d,_,English
_,t,h,e,_,f,e,a,t,u,r,e,_,w,a,s,_,c,h,a,n,g,e,d,_,f,r,o,m,_,o,p,t,-,o,u,t,_,t,o,_,o,p,t,-,i,n,_,a,f,English
c,o,m,p,u,t,e,r,_,p,r,o,g,r,a,m,s,_,c,a,l,l,e,d,_,b,o,t,s,_,h,a,v,e,_,o,f,t,e,n,_,b,e,e,n,_,u,s,e,d,English
_,o,n,e,_,c,o,n,t,r,o,v,e,r,s,i,a,l,_,c,o,n,t,r,i,b,u,t,o,r,_,s,v,e,r,k,e,r,_,j,o,h,a,n,s,s,o,n,?,ÿ,English
_,a,d,d,i,t,i,o,n,a,l,l,y,_,t,h,e,r,e,_,a,r,e,_,b,o,t,s,_,d,e,s,i,g,n,e,d,_,t,o,_,a,u,t,o,m,a,t,i,c,English
_,e,d,i,t,s,_,f,a,l,s,e,l,y,_,i,d,e,n,t,i,f,i,e,d,_,b,y,_,b,o,t,s,_,a,s,_,t,h,e,_,w,o,r,k,_,o,f,_,a,English
a,n,_,a,n,t,i,-,v,a,n,d,a,l,_,b,o,t,_,i,s,_,p,r,o,g,r,a,m,m,e,d,_,t,o,_,d,e,t,e,c,t,_,a,n,d,_,r,e,v,English
_,b,o,t,s,_,a,r,e,_,a,b,l,e,_,t,o,_,i,n,d,i,c,a,t,e,_,e,d,i,t,s,_,f,r,o,m,_,p,a,r,t,i,c,u,l,a,r,_,a,English
_,b,o,t,s,_,o,n,_,w,i,k,i,p,e,d,i,a,_,m,u,s,t,_,b,e,_,a,p,p,r,o,v,e,d,_,b,e,f,o,r,e,_,a,c,t,i,v,a,t,English
_,a,c,c,o,r,d,i,n,g,_,t,o,_,a,n,d,r,e,w,_,l,i,h,_,t,h,e,_,c,u,r,r,e,n,t,_,e,x,p,a,n,s,i,o,n,_,o,f,_,English
_,w,i,k,i,p,e,d,i,a,_,r,e,c,e,i,v,e,s,_,b,e,t,w,e,e,n,_,a,n,d,_,-,p,a,g,e,_,r,e,q,u,e,s,t,s,_,p,e,r,English
n,e,e,d,s,_,u,p,d,a,t,e,_,a,s,_,o,f,_,u,p,d,a,t,e,_,p,a,g,e,_,r,e,q,u,e,s,t,s,_,a,r,e,_,f,i,r,s,t,_,English
n,e,e,d,s,_,u,p,d,a,t,e,_,f,u,r,t,h,e,r,_,s,t,a,t,i,s,t,i,c,s,_,b,a,s,e,d,_,o,n,_,a,_,p,u,b,l,i,c,l,English
_,r,e,q,u,e,s,t,s,_,t,h,a,t,_,c,a,n,n,o,t,_,b,e,_,s,e,r,v,e,d,_,f,r,o,m,_,t,h,e,_,v,a,r,n,i,s,h,_,c,English
t,h,e,_,w,e,b,_,s,e,r,v,e,r,s,_,d,e,l,i,v,e,r,_,p,a,g,e,s,_,a,s,_,r,e,q,u,e,s,t,e,d,_,p,e,r,f,o,r,m,English
t,o,_,i,n,c,r,e,a,s,e,_,s,p,e,e,d,_,f,u,r,t,h,e,r,_,r,e,n,d,e,r,e,d,_,p,a,g,e,s,_,a,r,e,_,c,a,c,h,e,English
c,i,t,a,t,i,o,n,_,n,e,e,d,e,d,_,w,i,k,i,p,e,d,i,a,_,c,u,r,r,e,n,t,l,y,_,r,u,n,s,_,o,n,_,d,e,d,i,c,a,English
n,e,e,d,s,_,u,p,d,a,t,e,_,a,s,_,o,f,_,d,e,c,e,m,b,e,r,?,ÿ,u,p,d,a,t,e,_,t,h,e,r,e,_,w,e,r,e,_,i,n,_,English
_,b,y,_,j,a,n,u,a,r,y,_,w,i,k,i,p,e,d,i,a,_,h,a,d,_,m,i,g,r,a,t,e,d,_,i,t,s,_,p,r,i,m,a,r,y,_,d,a,t,English
_,i,n,_,w,i,k,i,p,e,d,i,a,_,h,a,d,_,i,n,s,t,a,l,l,e,d,_,a,_,c,a,c,h,i,n,g,_,c,l,u,s,t,e,r,_,i,n,_,a,English
_,f,o,l,l,o,w,i,n,g,_,g,r,o,w,i,n,g,_,a,m,o,u,n,t,s,_,o,f,_,i,n,c,o,m,i,n,g,_,d,o,n,a,t,i,o,n,s,_,e,English
_,t,w,o,_,o,f,_,t,h,e,_,r,e,c,e,n,t,_,p,r,o,j,e,c,t,s,_,o,f,_,s,u,c,h,_,i,n,t,e,r,n,a,l,_,r,e,s,e,a,English
_,t,h,e,_,e,s,t,i,m,a,t,e,s,_,f,o,r,_,r,e,i,n,v,e,s,t,m,e,n,t,_,b,y,_,i,n,d,u,s,t,r,i,a,l,_,o,r,g,a,English
_,a,t,_,t,h,e,_,l,e,v,e,l,_,o,f,_,c,o,n,t,r,i,b,u,t,i,o,n,s,_,f,o,r,_,w,i,k,i,m,e,d,i,a,_,p,r,e,s,e,English
_,i,n,_,t,h,e,_,l,e,v,e,l,_,o,f,_,c,o,n,t,r,i,b,u,t,i,o,n,s,_,w,e,r,e,_,r,e,p,o,r,t,e,d,_,b,y,_,b,l,English
_,c,o,m,m,u,n,i,t,y,-,p,r,o,d,u,c,e,d,_,n,e,w,s,_,p,u,b,l,i,c,a,t,i,o,n,s,_,i,n,c,l,u,d,e,_,t,h,e,_,English
_,i,t,_,c,o,v,e,r,s,_,n,e,w,s,_,a,n,d,_,e,v,e,n,t,s,_,f,r,o,m,_,t,h,e,_,s,i,t,e,_,a,s,_,w,e,l,l,_,a,English
s,i,m,i,l,a,r,_,p,u,b,l,i,c,a,t,i,o,n,s,_,a,r,e,_,t,h,e,_,g,e,r,m,a,n,-,l,a,n,g,u,a,g,e,_,k,u,r,i,e,English
o,t,h,e,r,_,p,a,s,t,_,a,n,d,_,p,r,e,s,e,n,t,_,c,o,m,m,u,n,i,t,y,_,n,e,w,s,_,p,u,b,l,i,c,a,t,i,o,n,s,English
t,h,e,r,e,_,a,r,e,_,a,l,s,o,_,s,e,v,e,r,a,l,_,p,u,b,l,i,c,a,t,i,o,n,s,_,f,r,o,m,_,t,h,e,_,w,i,k,i,m,English
w,h,e,n,_,t,h,e,_,p,r,o,j,e,c,t,_,w,a,s,_,s,t,a,r,t,e,d,_,i,n,_,a,l,l,_,t,e,x,t,_,i,n,_,w,i,k,i,p,e,English
_,t,h,e,_,g,f,d,l,_,w,a,s,_,c,r,e,a,t,e,d,_,f,o,r,_,s,o,f,t,w,a,r,e,_,m,a,n,u,a,l,s,_,t,h,a,t,_,c,o,English
t,h,i,s,_,m,a,d,e,_,i,t,_,a,_,p,o,o,r,_,c,h,o,i,c,e,_,f,o,r,_,a,_,g,e,n,e,r,a,l,_,r,e,f,e,r,e,n,c,e,English
i,n,_,d,e,c,e,m,b,e,r,_,t,h,e,_,c,r,e,a,t,i,v,e,_,c,o,m,m,o,n,s,_,l,i,c,e,n,s,e,_,w,a,s,_,r,e,l,e,a,English
t,h,e,_,l,i,c,e,n,s,e,_,g,a,i,n,e,d,_,p,o,p,u,l,a,r,i,t,y,_,a,m,o,n,g,_,b,l,o,g,g,e,r,s,_,a,n,d,_,o,English
t,h,e,_,w,i,k,i,p,e,d,i,a,_,p,r,o,j,e,c,t,_,s,o,u,g,h,t,_,t,h,e,_,s,w,i,t,c,h,_,t,o,_,t,h,e,_,c,r,e,English
_,b,e,c,a,u,s,e,_,t,h,e,_,t,w,o,_,l,i,c,e,n,s,e,s,_,g,f,d,l,_,a,n,d,_,c,r,e,a,t,i,v,e,_,c,o,m,m,o,n,English
(,a,_,n,e,w,_,v,e,r,s,i,o,n,_,o,f,_,t,h,e,_,g,f,d,l,_,a,u,t,o,m,a,t,i,c,a,l,l,y,_,c,o,v,e,r,s,_,w,i,English
i,n,_,a,p,r,i,l,_,w,i,k,i,p,e,d,i,a,_,a,n,d,_,i,t,s,_,s,i,s,t,e,r,_,p,r,o,j,e,c,t,s,_,h,e,l,d,_,a,_,English
_,t,h,e,_,h,a,n,d,l,i,n,g,_,o,f,_,m,e,d,i,a,_,f,i,l,e,s,_,(,e,g,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,English
i,m,a,g,e,_,f,i,l,e,s,),_,v,a,r,i,e,s,_,a,c,r,o,s,s,_,l,a,n,g,u,a,g,e,_,e,d,i,t,i,o,n,s,_,_,_,_,_,_,English
s,o,m,e,_,l,a,n,g,u,a,g,e,_,e,d,i,t,i,o,n,s,_,s,u,c,h,_,a,s,_,t,h,e,_,e,n,g,l,i,s,h,_,w,i,k,i,p,e,d,English
i,n,_,j,a,p,a,n,e,s,e,_,c,o,p,y,r,i,g,h,t,_,l,a,w,),_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,English
m,e,d,i,a,_,f,i,l,e,s,_,c,o,v,e,r,e,d,_,b,y,_,f,r,e,e,_,c,o,n,t,e,n,t,_,l,i,c,e,n,s,e,s,_,(,e,g,_,_,English
c,r,e,a,t,i,v,e,_,c,o,m,m,o,n,s,',_,c,c,_,b,y,-,s,a,),_,a,r,e,_,s,h,a,r,e,d,_,a,c,r,o,s,s,_,l,a,n,g,English
w,i,k,i,p,e,d,i,a,',s,_,a,c,c,o,m,m,o,d,a,t,i,o,n,_,o,f,_,v,a,r,y,i,n,g,_,i,n,t,e,r,n,a,t,i,o,n,a,l,English
_,t,h,e,_,w,i,k,i,m,e,d,i,a,_,f,o,u,n,d,a,t,i,o,n,_,i,s,_,n,o,t,_,a,_,l,i,c,e,n,s,o,r,_,o,f,_,c,o,n,English
t,h,i,s,_,p,o,s,i,t,i,o,n,_,h,a,s,_,b,e,e,n,_,s,u,c,c,e,s,s,f,u,l,l,y,_,d,e,f,e,n,d,e,d,_,i,n,_,c,o,English
_,b,e,c,a,u,s,e,_,w,i,k,i,p,e,d,i,a,_,c,o,n,t,e,n,t,_,i,s,_,d,i,s,t,r,i,b,u,t,e,d,_,u,n,d,e,r,_,a,n,English
t,h,e,_,c,o,n,t,e,n,t,_,o,f,_,w,i,k,i,p,e,d,i,a,_,h,a,s,_,b,e,e,n,_,p,u,b,l,i,s,h,e,d,_,i,n,_,m,a,n,English
o,b,t,a,i,n,i,n,g,_,t,h,e,_,f,u,l,l,_,c,o,n,t,e,n,t,s,_,o,f,_,w,i,k,i,p,e,d,i,a,_,f,o,r,_,r,e,u,s,e,English
_,w,i,k,i,p,e,d,i,a,_,p,u,b,l,i,s,h,e,s,_,d,u,m,p,s,_,o,f,_,i,t,s,_,c,o,n,t,e,n,t,s,_,b,u,t,_,t,h,e,English
_,s,e,v,e,r,a,l,_,l,a,n,g,u,a,g,e,s,_,o,f,_,w,i,k,i,p,e,d,i,a,_,a,l,s,o,_,m,a,i,n,t,a,i,n,_,a,_,r,e,English
a,c,c,o,r,d,i,n,g,_,t,o,_,a,_,s,t,u,d,y,_,b,y,_,p,n,i,n,a,_,s,h,a,c,h,a,f,_,i,n,_,t,h,e,_,j,o,u,r,n,English
_,w,i,k,i,p,e,d,i,a,',s,_,o,r,i,g,i,n,a,l,_,m,e,d,i,u,m,_,w,a,s,_,f,o,r,_,u,s,e,r,s,_,t,o,_,r,e,a,d,English
a,l,t,h,o,u,g,h,_,w,i,k,i,p,e,d,i,a,_,c,o,n,t,e,n,t,_,h,a,s,_,b,e,e,n,_,a,c,c,e,s,s,i,b,l,e,_,t,h,r,English
_,t,h,e,_,a,r,t,i,c,l,e,_,i,n,_,t,h,e,_,n,e,w,_,y,o,r,k,_,t,i,m,e,s,_,r,e,p,o,r,t,e,d,_,t,h,e,_,c,o,English
a,n,d,_,t,h,e,_,s,h,i,f,t,_,t,o,_,m,o,b,i,l,e,_,e,d,i,t,i,n,g,_,h,a,s,_,l,a,g,g,e,d,_,e,v,e,n,_,m,o,English
_,t,h,e,_,n,e,w,_,y,o,r,k,_,t,i,m,e,s,_,r,e,p,o,r,t,s,_,t,h,a,t,_,m,?,?,l,l,e,r,_,h,a,s,_,a,s,s,i,g,English
o,n,e,_,p,r,i,n,c,i,p,a,l,_,c,o,n,c,e,r,n,_,c,i,t,e,d,_,b,y,_,t,h,e,_,n,e,w,_,y,o,r,k,_,t,i,m,e,s,_,English
_,b,l,o,o,m,b,e,r,g,_,b,u,s,i,n,e,s,s,w,e,e,k,_,r,e,p,o,r,t,e,d,_,i,n,_,j,u,l,y,_,t,h,a,t,_,g,o,o,g,English
_,a,t,_,t,h,e,_,t,i,m,e,_,o,f,_,t,h,e,_,t,r,e,t,i,k,o,v,_,a,p,p,o,i,n,t,m,e,n,t,_,a,n,d,_,h,e,r,_,p,English
d,i,r,e,c,t,l,y,_,a,f,t,e,r,_,t,h,e,_,p,o,s,t,e,d,_,w,e,b,_,i,n,t,e,r,v,i,e,w,_,t,h,e,_,r,e,p,r,e,s,English
_,t,h,e,_,l,a,t,e,s,t,_,v,e,r,s,i,o,n,_,o,f,_,t,h,e,_,a,n,d,r,o,i,d,_,a,p,p,_,f,o,r,_,w,i,k,i,p,e,d,English
_,t,h,e,_,l,a,t,e,s,t,_,v,e,r,s,i,o,n,_,f,o,r,_,i,o,s,_,w,a,s,_,r,e,l,e,a,s,e,d,_,o,n,_,a,p,r,i,l,_,English
_,a,c,c,e,s,s,_,t,o,_,w,i,k,i,p,e,d,i,a,_,f,r,o,m,_,m,o,b,i,l,e,_,p,h,o,n,e,s,_,w,a,s,_,p,o,s,s,i,b,English
i,n,_,j,u,n,e,_,w,i,k,i,p,e,d,i,a,_,l,a,u,n,c,h,e,d,_,e,n,m,o,b,i,l,e,w,i,k,i,p,e,d,i,a,o,r,g,_,a,n,English
i,n,_,a,_,n,e,w,e,r,_,m,o,b,i,l,e,_,s,e,r,v,i,c,e,_,w,a,s,_,o,f,f,i,c,i,a,l,l,y,_,r,e,l,e,a,s,e,d,_,English
s,e,v,e,r,a,l,_,o,t,h,e,r,_,m,e,t,h,o,d,s,_,o,f,_,m,o,b,i,l,e,_,a,c,c,e,s,s,_,t,o,_,w,i,k,i,p,e,d,i,English
m,a,n,y,_,d,e,v,i,c,e,s,_,a,n,d,_,a,p,p,l,i,c,a,t,i,o,n,s,_,o,p,t,i,m,i,z,e,_,o,r,_,e,n,h,a,n,c,e,_,English
_,w,i,k,i,p,e,d,i,a,_,z,e,r,o,_,w,a,s,_,a,n,_,i,n,i,t,i,a,t,i,v,e,_,o,f,_,t,h,e,_,w,i,k,i,m,e,d,i,a,English
_,i,t,_,w,a,s,_,d,i,s,c,o,n,t,i,n,u,e,d,_,i,n,_,f,e,b,r,u,a,r,y,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,English
_,a,n,d,r,e,w,_,l,i,h,_,a,n,d,_,a,n,d,r,e,w,_,b,r,o,w,n,_,b,o,t,h,_,m,a,i,n,t,a,i,n,_,e,d,i,t,i,n,g,English
t,h,e,_,n,u,m,b,e,r,_,o,f,_,w,i,k,i,p,e,d,i,a,_,e,d,i,t,o,r,s,_,h,a,s,_,b,e,e,n,_,d,e,c,l,i,n,i,n,g,English
s,i,m,o,n,i,t,e,_,a,l,l,e,g,e,s,_,s,o,m,e,_,w,i,k,i,p,e,d,i,a,n,s,_,u,s,e,_,t,h,e,_,l,a,b,y,r,i,n,t,English
_,l,i,h,_,a,l,l,e,g,e,s,_,t,h,e,r,e,_,i,s,_,a,_,s,e,r,i,o,u,s,_,d,i,s,a,g,r,e,e,m,e,n,t,_,a,m,o,n,g,English
l,i,h,_,f,e,a,r,s,_,f,o,r,_,w,i,k,i,p,e,d,i,a,',s,_,l,o,n,g,-,t,e,r,m,_,f,u,t,u,r,e,_,w,h,i,l,e,_,b,English
_,i,n,_,ƒ,?,?,_,a,f,t,e,r,_,a,_,b,a,r,r,a,g,e,_,o,f,_,f,a,l,s,e,_,n,e,w,s,_,r,e,p,o,r,t,s,_,b,o,t,h,English
n,o,a,m,_,c,o,h,e,n,_,w,r,i,t,i,n,g,_,i,n,_,t,h,e,_,w,a,s,h,i,n,g,t,o,n,_,p,o,s,t,_,s,t,a,t,e,s,_,y,English
_,a,s,_,o,f,_,n,o,v,e,m,b,e,r,_,a,l,e,x,a,_,r,e,c,o,r,d,s,_,t,h,e,_,d,a,i,l,y,_,p,a,g,e,v,i,e,w,s,_,English
_,i,n,_,f,e,b,r,u,a,r,y,_,t,h,e,_,n,e,w,_,y,o,r,k,_,t,i,m,e,s,_,r,e,p,o,r,t,e,d,_,t,h,a,t,_,w,i,k,i,English
_,h,o,w,e,v,e,r,_,i,t,s,_,r,a,n,k,i,n,g,_,d,r,o,p,p,e,d,_,t,o,_,t,h,_,g,l,o,b,a,l,l,y,_,b,y,_,j,u,n,English
_,i,n,_,a,d,d,i,t,i,o,n,_,t,o,_,l,o,g,i,s,t,i,c,_,g,r,o,w,t,h,_,i,n,_,t,h,e,_,n,u,m,b,e,r,_,o,f,_,i,English
_,a,b,o,u,t,_,p,e,r,c,e,n,t,_,o,f,_,s,e,a,r,c,h,_,e,n,g,i,n,e,_,t,r,a,f,f,i,c,_,t,o,_,w,i,k,i,p,e,d,English
_,t,h,e,_,n,u,m,b,e,r,_,o,f,_,r,e,a,d,e,r,s,_,o,f,_,w,i,k,i,p,e,d,i,a,_,w,o,r,l,d,w,i,d,e,_,r,e,a,c,English
_,t,h,e,_,p,e,w,_,i,n,t,e,r,n,e,t,_,a,n,d,_,a,m,e,r,i,c,a,n,_,l,i,f,e,_,p,r,o,j,e,c,t,_,f,o,u,n,d,_,English
_,i,n,_,b,u,s,i,n,e,s,s,_,i,n,s,i,d,e,r,_,g,a,v,e,_,w,i,k,i,p,e,d,i,a,_,a,_,v,a,l,u,a,t,i,o,n,_,o,f,English
_,a,c,c,o,r,d,i,n,g,_,t,o,_,w,i,k,i,p,e,d,i,a,_,r,e,a,d,e,r,s,h,i,p,_,s,u,r,v,e,y,_,t,h,e,_,a,v,e,r,English
a,l,m,o,s,t,_,h,a,l,f,_,o,f,_,w,i,k,i,p,e,d,i,a,_,r,e,a,d,e,r,s,_,v,i,s,i,t,_,t,h,e,_,s,i,t,e,_,m,o,English
a,b,o,u,t,_,p,e,r,c,e,n,t,_,o,f,_,w,i,k,i,p,e,d,i,a,_,r,e,a,d,e,r,s,_,d,o,_,n,o,t,_,r,e,a,l,i,z,e,_,English
_,d,u,r,i,n,g,_,t,h,e,_,c,o,v,i,d,-,_,p,a,n,d,e,m,i,c,_,w,i,k,i,p,e,d,i,a,',s,_,c,o,v,e,r,a,g,e,_,o,English
_,w,i,k,i,p,e,d,i,a,',s,_,c,o,n,t,e,n,t,_,h,a,s,_,a,l,s,o,_,b,e,e,n,_,u,s,e,d,_,i,n,_,a,c,a,d,e,m,i,English
_,t,h,e,_,p,a,r,l,i,a,m,e,n,t,_,o,f,_,c,a,n,a,d,a,',s,_,w,e,b,s,i,t,e,_,r,e,f,e,r,s,_,t,o,_,w,i,k,i,English
_,t,h,e,_,e,n,c,y,c,l,o,p,e,d,i,a,',s,_,a,s,s,e,r,t,i,o,n,s,_,a,r,e,_,i,n,c,r,e,a,s,i,n,g,l,y,_,u,s,English
_,c,o,n,t,e,n,t,_,a,p,p,e,a,r,i,n,g,_,o,n,_,w,i,k,i,p,e,d,i,a,_,h,a,s,_,a,l,s,o,_,b,e,e,n,_,c,i,t,e,English
_,i,n,_,d,e,c,e,m,b,e,r,_,t,h,e,_,s,c,i,e,n,t,i,f,i,c,_,j,o,u,r,n,a,l,_,r,n,a,_,b,i,o,l,o,g,y,_,l,a,English
_,w,i,k,i,p,e,d,i,a,_,h,a,s,_,a,l,s,o,_,b,e,e,n,_,u,s,e,d,_,a,s,_,a,_,s,o,u,r,c,e,_,i,n,_,j,o,u,r,n,English
_,i,n,_,t,i,m,e,_,m,a,g,a,z,i,n,e,_,r,e,c,o,g,n,i,z,e,d,_,w,i,k,i,p,e,d,i,a,',s,_,p,a,r,t,i,c,i,p,a,English
i,n,_,j,u,l,y,_,w,i,k,i,p,e,d,i,a,_,w,a,s,_,t,h,e,_,f,o,c,u,s,_,o,f,_,a,_,-,m,i,n,u,t,e,_,d,o,c,u,m,English
o,n,_,s,e,p,t,e,m,b,e,r,_,i,t,a,l,i,a,n,_,p,o,l,i,t,i,c,i,a,n,_,f,r,a,n,c,o,_,g,r,i,l,l,i,n,i,_,r,a,English
h,e,_,s,a,i,d,_,t,h,a,t,_,t,h,e,_,l,a,c,k,_,o,f,_,s,u,c,h,_,f,r,e,e,d,o,m,_,f,o,r,c,e,d,_,w,i,k,i,p,English
_,o,n,_,s,e,p,t,e,m,b,e,r,_,t,h,e,_,w,a,s,h,i,n,g,t,o,n,_,p,o,s,t,_,r,e,p,o,r,t,e,d,_,t,h,a,t,_,w,i,English
a,l,r,e,a,d,y,_,t,h,e,_,p,r,e,s,i,d,e,n,t,i,a,l,_,e,n,t,r,i,e,s,_,a,r,e,_,b,e,i,n,g,_,e,d,i,t,e,d,_,English
_,a,n,_,o,c,t,o,b,e,r,_,r,e,u,t,e,r,s,_,a,r,t,i,c,l,e,_,t,i,t,l,e,d,_,w,i,k,i,p,e,d,i,a,_,p,a,g,e,_,English
_,a,c,t,i,v,e,_,p,a,r,t,i,c,i,p,a,t,i,o,n,_,a,l,s,o,_,h,a,s,_,a,n,_,i,m,p,a,c,t,_,_,_,_,_,_,_,_,_,_,English
l,a,w,_,s,t,u,d,e,n,t,s,_,h,a,v,e,_,b,e,e,n,_,a,s,s,i,g,n,e,d,_,t,o,_,w,r,i,t,e,_,w,i,k,i,p,e,d,i,a,English
_,a,_,w,o,r,k,i,n,g,_,g,r,o,u,p,_,l,e,d,_,b,y,_,p,e,t,e,r,_,s,t,o,n,e,_,(,f,o,r,m,e,d,_,a,s,_,a,_,p,English
_,i,n,_,a,_,o,p,i,n,i,o,n,_,p,i,e,c,e,_,f,o,r,_,w,i,r,e,d,_,h,o,s,s,e,i,n,_,d,e,r,a,k,h,s,h,a,n,_,d,English
f,o,r,_,d,e,r,a,k,h,s,h,a,n,_,w,i,k,i,p,e,d,i,a,',s,_,g,o,a,l,_,a,s,_,a,n,_,e,n,c,y,c,l,o,p,e,d,i,a,English
r,a,t,h,e,r,_,t,h,a,n,_,s,a,p,e,r,e,_,a,u,d,e,_,(,l,i,t,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,English
',',d,a,r,e,_,t,o,_,k,n,o,w,',',),_,s,o,c,i,a,l,_,n,e,t,w,o,r,k,s,_,h,a,v,e,_,l,e,d,_,t,o,_,a,_,c,u,English
t,h,i,s,_,i,s,_,w,h,i,l,e,_,w,i,k,i,p,e,d,i,a,_,f,a,c,e,s,_,a,_,m,o,r,e,_,c,o,n,c,e,r,n,i,n,g,_,p,r,English
c,o,n,s,e,q,u,e,n,t,l,y,_,t,h,e,_,c,h,a,l,l,e,n,g,e,_,f,o,r,_,w,i,k,i,p,e,d,i,a,_,a,n,d,_,t,h,o,s,e,English
_,w,i,k,i,p,e,d,i,a,_,w,o,n,_,t,w,o,_,m,a,j,o,r,_,a,w,a,r,d,s,_,i,n,_,m,a,y,_,_,_,_,_,_,_,_,_,_,_,_,English
_,t,h,e,_,f,i,r,s,t,_,w,a,s,_,a,_,g,o,l,d,e,n,_,n,i,c,a,_,f,o,r,_,d,i,g,i,t,a,l,_,c,o,m,m,u,n,i,t,i,English
t,h,e,_,s,e,c,o,n,d,_,w,a,s,_,a,_,j,u,d,g,e,s,',_,w,e,b,b,y,_,a,w,a,r,d,_,f,o,r,_,t,h,e,_,c,o,m,m,u,English
_,w,i,k,i,p,e,d,i,a,_,w,a,s,_,a,l,s,o,_,n,o,m,i,n,a,t,e,d,_,f,o,r,_,a,_,b,e,s,t,_,p,r,a,c,t,i,c,e,s,English
i,n,_,r,e,a,d,e,r,s,_,o,f,_,b,r,a,n,d,c,h,a,n,n,e,l,c,o,m,_,v,o,t,e,d,_,w,i,k,i,p,e,d,i,a,_,a,s,_,t,English
_,i,n,_,s,e,p,t,e,m,b,e,r,_,w,i,k,i,p,e,d,i,a,_,r,e,c,e,i,v,e,d,_,q,u,a,d,r,i,g,a,_,a,_,m,i,s,s,i,o,English
t,h,e,_,a,w,a,r,d,_,w,a,s,_,p,r,e,s,e,n,t,e,d,_,t,o,_,w,a,l,e,s,_,b,y,_,d,a,v,i,d,_,w,e,i,n,b,e,r,g,English
_,i,n,_,w,i,k,i,p,e,d,i,a,_,w,a,s,_,a,w,a,r,d,e,d,_,b,o,t,h,_,t,h,e,_,a,n,n,u,a,l,_,e,r,a,s,m,u,s,_,English
_,s,p,e,a,k,i,n,g,_,a,t,_,t,h,e,_,a,s,t,u,r,i,a,n,_,p,a,r,l,i,a,m,e,n,t,_,i,n,_,o,v,i,e,d,o,_,t,h,e,English
_,t,h,e,_,n,i,g,h,t,_,o,f,_,t,h,e,_,c,e,r,e,m,o,n,y,_,m,e,m,b,e,r,s,_,o,f,_,t,h,e,_,w,i,k,i,m,e,d,i,English
